time,symbol,ncount,hold,dir,offset,lot,state,leverage,tradeprice
2021-01-04 15:25:00,BTC,1,100,1,1,32.0,32.0,1,30346.041081999996
2021-01-05 08:00:00,BTC,1,100,-1,0,32.0,0,1,32474.264797
2021-01-08 02:50:00,BTC,2,100,1,1,30.0,30.0,1,32336.838141999997
2021-01-09 04:40:00,BTC,2,100,-1,0,30.0,0,1,38982.71167700001
2021-01-12 05:25:00,BTC,3,100,-1,1,25.0,-25.0,1,39119.030769
2021-01-12 13:45:00,BTC,3,100,1,0,25.0,0,1,33994.435271999995
2021-01-12 22:30:00,BTC,4,100,1,1,27.0,27.0,1,35793.254755999995
2021-01-14 04:15:00,BTC,4,100,-1,0,27.0,0,1,33074.344719
2021-01-15 23:15:00,BTC,5,100,1,1,27.0,27.0,1,36315.451367999995
2021-01-17 06:05:00,BTC,5,100,-1,0,27.0,0,1,36734.226425
2021-01-18 20:20:00,BTC,6,100,-1,1,27.0,-27.0,1,35710.443652
2021-01-20 11:35:00,BTC,6,100,1,0,27.0,0,1,37174.54902
2021-01-22 22:05:00,BTC,7,100,-1,1,28.0,-28.0,1,35353.730698
2021-01-25 20:40:00,BTC,7,100,1,0,28.0,0,1,32417.002183999997
2021-01-26 12:05:00,BTC,8,100,1,1,29.0,29.0,1,34286.812958999995
2021-01-27 22:00:00,BTC,8,100,-1,0,29.0,0,1,31713.773013
2021-01-29 00:50:00,BTC,9,100,-1,1,33.0,-33.0,1,30269.166525
2021-02-02 17:05:00,BTC,9,100,1,0,33.0,0,1,32452.63287
2021-02-08 00:20:00,BTC,10,100,1,1,28.0,28.0,1,35386.572788
2021-02-08 20:40:00,BTC,10,100,-1,0,28.0,0,1,37790.999297999995
2021-02-10 23:45:00,BTC,11,100,1,1,24.0,24.0,1,41129.085025
2021-02-11 19:50:00,BTC,11,100,-1,0,24.0,0,1,44346.961919
2021-02-22 18:15:00,BTC,12,100,1,1,21.0,21.0,1,46160.173899
2021-02-23 12:40:00,BTC,12,100,-1,0,21.0,0,1,54588.638494
2021-02-24 09:50:00,BTC,13,100,-1,1,19.0,-19.0,1,50485.319859
2021-02-26 06:05:00,BTC,13,100,1,0,19.0,0,1,50233.145424
2021-03-01 19:10:00,BTC,14,100,-1,1,20.0,-20.0,1,47903.004786
2021-03-02 08:20:00,BTC,14,100,1,0,20.0,0,1,47798.555266
2021-03-05 02:55:00,BTC,15,100,1,1,19.0,19.0,1,50225.063
2021-03-07 16:00:00,BTC,15,100,-1,0,19.0,0,1,47963.136741
2021-03-15 17:25:00,BTC,16,100,1,1,19.0,19.0,1,50603.506499
2021-03-18 05:30:00,BTC,16,100,-1,0,19.0,0,1,55924.117730000005
2021-03-23 04:50:00,BTC,17,100,1,1,17.0,17.0,1,58461.343143
2021-03-25 06:25:00,BTC,17,100,-1,0,17.0,0,1,54534.61470600001
2021-03-28 00:15:00,BTC,18,100,-1,1,19.0,-19.0,1,52470.484131000005
2021-03-29 20:05:00,BTC,18,100,1,0,19.0,0,1,55695.253565
2021-04-18 09:20:00,BTC,19,100,1,1,17.0,17.0,1,58246.318654999995
2021-04-19 08:55:00,BTC,19,100,-1,0,17.0,0,1,59413.340649
2021-04-23 04:30:00,BTC,20,100,1,1,17.0,17.0,1,56790.402011
2021-04-26 09:45:00,BTC,20,100,-1,0,17.0,0,1,52395.196724
2021-05-04 23:20:00,BTC,21,100,1,1,19.0,19.0,1,51923.692436
2021-05-05 22:55:00,BTC,21,100,-1,0,19.0,0,1,54292.217447
2021-05-11 04:05:00,BTC,22,100,1,1,17.0,17.0,1,57160.392974999995
2021-05-12 11:40:00,BTC,22,100,-1,0,17.0,0,1,54989.518194
2021-05-13 06:15:00,BTC,23,100,1,1,17.0,17.0,1,57806.456736
2021-05-14 01:25:00,BTC,23,100,-1,0,17.0,0,1,53042.722408
2021-05-19 21:20:00,BTC,24,100,-1,1,21.0,-21.0,1,47075.013258
2021-05-21 22:15:00,BTC,24,100,1,0,21.0,0,1,33268.887673000005
2021-05-22 07:15:00,BTC,25,100,-1,1,25.0,-25.0,1,38743.453476
2021-05-23 14:30:00,BTC,25,100,1,0,25.0,0,1,37195.275236
2021-05-24 06:20:00,BTC,26,100,-1,1,27.0,-27.0,1,36413.812578
2021-05-24 14:55:00,BTC,26,100,1,0,27.0,0,1,34414.651299
2021-05-27 11:10:00,BTC,27,100,1,1,27.0,27.0,1,36356.293616999996
2021-05-28 13:40:00,BTC,27,100,-1,0,27.0,0,1,37265.457008
2021-05-31 18:50:00,BTC,28,100,-1,1,27.0,-27.0,1,36824.719269
2021-06-03 13:40:00,BTC,28,100,1,0,27.0,0,1,36892.494429
2021-06-04 20:10:00,BTC,29,100,1,1,25.0,25.0,1,38691.844072
2021-06-05 08:55:00,BTC,29,100,-1,0,25.0,0,1,35859.239
2021-06-08 04:55:00,BTC,30,100,1,1,26.0,26.0,1,37647.750938
